Brand,Name,Price,Type,Store
Annie's Home Kitchen,"Classic Cheddar Macaroni and Cheese, Pasta & Mac and Cheese, 6 oz",$1.18,Mac & Cheese,Walmart
Annie's Home Kitchen,"Shells & Aged Cheddar Macaroni and Cheese, Mac and Cheese, 6 oz",$1.18,Mac & Cheese,Walmart
Kraft,"Original Macaroni & Cheese Dinner, 7.25 oz Box",$0.88,Mac & Cheese,Walmart
Kraft,"Original Macaroni & Cheese Easy Microwavable Dinner, 4 ct Pack, 2.05 oz Cups",$3.78,Mac & Cheese,Walmart
Kraft,"Original Macaroni & Cheese Dinner, 5 ct Pack, 7.25 oz Boxes",$4.50,Mac & Cheese,Walmart
Velveeta," Shells & Cheese Original Shell Pasta & Cheese Sauce Meal, 3 ct Pack, 12 oz Boxes",$6.48,Mac & Cheese,Walmart
Great Value,"Original Macaroni & Cheese, 7.25 oz",$0.50,Mac & Cheese,Walmart
Great Value," Deluxe Original Cheddar Macaroni & Cheese, 14 oz",$1.48,Mac & Cheese,Walmart
Velveeta,"Shells & Cheese Original Shell Pasta & Cheese Sauce Meal, 12 oz Box",$2.98,Mac & Cheese,Walmart
Great Value,"Premium Original Shells & Cheese, 12 oz",$1.48,Mac & Cheese,Walmart
Kraft,"Triple Cheese Macaroni & Cheese Easy Microwavable Dinner, 4 ct Pack, 2.05 oz Cups",$3.78,Mac & Cheese,Walmart
Annie's ,"Real Aged White Cheddar Macaroni & Cheese, 4 ct, 8.04 oz",$4.98,Mac & Cheese,Walmart
Annie's ,Deluxe Rich & Creamy Shells & Four Cheese 11.3 oz,$2.98,Mac & Cheese,Walmart
Great Value,"Original Premium Shells & Cheese Microwavable Cups, 8 Count",$5.54,Mac & Cheese,Walmart
Hamburger Helper,"Pasta and Cheeseburger Macaroni Sauce Mix, 13.6 oz",$1.98,Mac & Cheese,Walmart
Kraft,"Deluxe Original Macaroni & Cheese Easy Microwavable Dinner, 8 ct Box, 2.39 oz Cups",$6.92,Mac & Cheese,Walmart
Cheetos,Mac'N Cheese Pasta With Flavored Sauce Flamin' Hot Flavor 2.11 Oz,$0.96,Mac & Cheese,Walmart
Kraft,"Deluxe White Cheddar & Garlic & Herbs Macaroni & Cheese Dinner, 11.9 oz Box",$2.98,Mac & Cheese,Walmart
Bob Evans,"Tasteful Sides Macaroni & Cheese, 2 count, 12 oz",$3.38,Mac & Cheese,Walmart
Mac & Cheese,"Microwave Meal, 16 OZ Cup (Vegetarian)",$4.97,Mac & Cheese,Walmart
Annie's ,Deluxe Rich & Creamy Shells & Four Cheese 11.3 oz,$2.98,Mac & Cheese,Walmart
Annie's ,"Organic Vegan Cheddar Macaroni & Cheese, Microwavable, 2 cups, 4.02 oz",$2.48,Mac & Cheese,Walmart
Kraft,"Macaroni & Cheese Frozen Dinner with Breaded Chicken Nuggets & Broccoli, 8.5 oz Box",$2.78,Mac & Cheese,Walmart
Kraft,"Macaroni & Cheese Frozen Dinner with Chicken & Beef Meatballs & Apples in a Cinnamon Sugar Sauce, 8.5 oz Box",$2.78,Mac & Cheese,Walmart
Velveeta,"Shells & Cheese Original Microwavable Shell Pasta & Cheese Sauce, 2.39 oz Cup",$1.32,Mac & Cheese,Walmart
